Tiempo,AccX,AccY,AccZ,GiroY,KalmanGiroY,Pitch,KalmanPitch
0.65,356.0,-228.0,14844.0,1.53,-0.14,0.88,0.63
4.71,344.0,-144.0,15012.0,1.64,-0.01,0.55,0.62
4.77,272.0,-128.0,14964.0,1.53,-0.13,0.49,0.6
4.82,360.0,-192.0,14924.0,1.66,-0.0,0.74,0.61
4.88,256.0,-92.0,14712.0,1.63,-0.03,0.36,0.59
4.94,296.0,-96.0,15072.0,1.6,-0.08,0.36,0.56
5.0,348.0,-224.0,15084.0,1.54,-0.15,0.85,0.58
5.05,328.0,-72.0,14952.0,1.64,-0.03,0.28,0.55
5.11,276.0,-208.0,14880.0,1.74,0.05,0.8,0.58
5.17,308.0,-152.0,15100.0,1.46,-0.21,0.58,0.57
5.22,236.0,-88.0,15000.0,1.53,-0.14,0.34,0.54
5.28,276.0,-128.0,14948.0,1.56,-0.13,0.49,0.53
5.34,444.0,-192.0,14924.0,1.73,0.03,0.74,0.55
5.4,180.0,-156.0,15052.0,1.46,-0.22,0.59,0.54
5.45,216.0,-296.0,15080.0,1.62,-0.05,1.12,0.6
5.51,300.0,4.0,14912.0,1.62,-0.01,-0.02,0.54
5.57,316.0,-132.0,15048.0,1.69,0.01,0.5,0.53
5.62,416.0,-196.0,14972.0,1.44,-0.23,0.75,0.54
5.68,268.0,-172.0,15128.0,1.56,-0.09,0.65,0.55
5.74,304.0,-192.0,14868.0,1.68,0.03,0.74,0.57
5.8,360.0,-204.0,15044.0,1.57,-0.06,0.78,0.59
5.85,256.0,-192.0,15032.0,1.62,-0.0,0.73,0.6
5.91,276.0,-184.0,15056.0,1.6,-0.02,0.7,0.61
5.97,288.0,-104.0,14872.0,1.53,-0.08,0.4,0.58
6.03,368.0,-80.0,14920.0,1.61,-0.01,0.31,0.56
6.08,344.0,-68.0,15056.0,1.6,-0.04,0.26,0.53
6.14,232.0,-112.0,15080.0,1.53,-0.13,0.43,0.51
6.2,308.0,-208.0,14984.0,1.65,-0.02,0.8,0.54
6.25,300.0,-304.0,15136.0,1.57,-0.07,1.15,0.59
6.31,356.0,-180.0,15056.0,1.61,0.01,0.68,0.6
6.37,376.0,-44.0,15004.0,1.69,0.1,0.17,0.56
6.42,380.0,-48.0,14864.0,1.53,-0.09,0.19,0.52
6.48,344.0,-88.0,15104.0,1.65,-0.0,0.33,0.5
6.54,388.0,-164.0,15104.0,1.6,-0.06,0.62,0.51
6.6,260.0,-128.0,14756.0,1.57,-0.09,0.5,0.51
6.65,284.0,-228.0,14948.0,1.68,0.02,0.87,0.54
6.71,364.0,-108.0,14992.0,1.57,-0.06,0.41,0.53
6.77,320.0,-160.0,15136.0,1.5,-0.14,0.61,0.53
6.83,300.0,-188.0,14972.0,1.61,-0.02,0.72,0.55
6.88,344.0,-64.0,15040.0,1.63,0.01,0.24,0.52
6.94,304.0,-152.0,15144.0,1.61,-0.03,0.58,0.52
7.0,288.0,-140.0,15076.0,1.63,-0.01,0.53,0.52
7.05,332.0,-296.0,14904.0,1.66,0.03,1.14,0.58
7.11,308.0,-248.0,14940.0,1.66,0.06,0.95,0.62
7.17,356.0,-228.0,15056.0,1.47,-0.09,0.87,0.64
7.23,412.0,-48.0,14996.0,1.51,-0.04,0.18,0.59
7.28,340.0,-108.0,14968.0,1.63,0.04,0.41,0.58
7.34,356.0,-120.0,15000.0,1.51,-0.08,0.46,0.56
7.4,220.0,-80.0,15092.0,1.56,-0.04,0.3,0.54
7.45,380.0,-72.0,15104.0,1.67,0.05,0.27,0.51
7.51,316.0,-64.0,14976.0,1.56,-0.08,0.24,0.48
7.57,344.0,-224.0,14928.0,1.63,-0.03,0.86,0.52
7.62,264.0,-148.0,14988.0,1.47,-0.17,0.57,0.51
7.68,344.0,-128.0,14768.0,1.47,-0.16,0.5,0.5
7.74,396.0,-108.0,14960.0,1.49,-0.14,0.41,0.49
7.8,312.0,-124.0,15020.0,1.7,0.07,0.47,0.49
7.85,280.0,-112.0,15056.0,1.53,-0.11,0.43,0.48
7.91,380.0,-268.0,15060.0,1.68,0.04,1.02,0.53
7.97,316.0,-80.0,14996.0,1.47,-0.14,0.31,0.5
8.02,300.0,-156.0,14908.0,1.53,-0.08,0.6,0.51
8.08,344.0,-232.0,14976.0,1.66,0.05,0.89,0.55
8.14,328.0,-172.0,15016.0,1.66,0.08,0.66,0.56
8.2,424.0,-180.0,14720.0,1.56,-0.01,0.7,0.58
8.25,480.0,-196.0,15060.0,1.56,-0.0,0.75,0.59
8.31,308.0,-172.0,14952.0,1.55,-0.0,0.66,0.6
8.37,372.0,-248.0,14884.0,1.5,-0.05,0.95,0.63
8.43,424.0,-100.0,15012.0,1.46,-0.07,0.38,0.6
8.48,356.0,-68.0,15048.0,1.52,-0.02,0.26,0.57
8.54,248.0,-68.0,15056.0,1.66,0.1,0.26,0.54
8.6,268.0,-152.0,14940.0,1.41,-0.18,0.58,0.54
8.65,336.0,-108.0,14936.0,1.69,0.11,0.41,0.53
8.71,400.0,-128.0,15060.0,1.53,-0.06,0.49,0.52
8.77,316.0,-228.0,14828.0,1.5,-0.09,0.88,0.55
8.83,336.0,-148.0,14952.0,1.54,-0.03,0.57,0.55
8.88,476.0,-108.0,14836.0,1.73,0.16,0.42,0.55
8.94,388.0,-4.0,15096.0,1.62,0.04,0.02,0.5
9.0,332.0,-136.0,14940.0,1.51,-0.11,0.52,0.5
9.05,308.0,-52.0,14916.0,1.56,-0.06,0.2,0.46
9.11,292.0,-160.0,14968.0,1.63,-0.0,0.61,0.48
9.17,292.0,-224.0,14968.0,1.52,-0.11,0.86,0.51
9.23,316.0,-140.0,14996.0,1.6,-0.0,0.53,0.51
9.28,420.0,-216.0,14924.0,1.74,0.14,0.83,0.55
9.34,388.0,-96.0,15096.0,1.66,0.08,0.36,0.54
9.4,404.0,-112.0,15044.0,1.72,0.13,0.43,0.53
9.45,328.0,-216.0,14964.0,1.57,-0.02,0.83,0.56
9.51,308.0,-224.0,14944.0,1.56,-0.02,0.86,0.59
9.57,324.0,-244.0,14968.0,1.63,0.07,0.93,0.62
9.62,216.0,-228.0,14884.0,1.65,0.12,0.88,0.66
9.68,408.0,-164.0,14940.0,1.44,-0.08,0.63,0.65
9.74,284.0,-160.0,15052.0,1.65,0.13,0.61,0.65
9.8,308.0,-132.0,15016.0,1.58,0.06,0.5,0.64
9.85,332.0,-80.0,14972.0,1.51,-0.02,0.31,0.61
9.91,292.0,-220.0,14912.0,1.61,0.06,0.85,0.63
9.97,344.0,-172.0,15052.0,1.47,-0.06,0.65,0.63
10.02,332.0,-232.0,15044.0,1.56,0.02,0.88,0.66
10.08,272.0,-196.0,15104.0,1.52,0.0,0.74,0.67
10.14,200.0,0.0,14968.0,1.6,0.09,0.0,0.61
10.19,260.0,-168.0,15160.0,1.62,0.06,0.63,0.61
10.25,352.0,-204.0,15124.0,1.49,-0.07,0.77,0.62
10.31,424.0,-108.0,14852.0,1.63,0.09,0.42,0.61
10.37,264.0,-208.0,14980.0,1.63,0.07,0.8,0.63
10.42,272.0,-152.0,15036.0,1.5,-0.05,0.58,0.62
10.48,244.0,-240.0,15004.0,1.53,-0.02,0.92,0.65
10.54,364.0,-160.0,14956.0,1.56,0.04,0.61,0.65
10.6,360.0,-304.0,15024.0,1.61,0.08,1.16,0.7
10.66,404.0,-140.0,14884.0,1.65,0.15,0.54,0.69
10.72,336.0,-172.0,15072.0,1.49,-0.02,0.65,0.69
10.77,196.0,-4.0,14860.0,1.52,0.01,0.02,0.62
10.83,332.0,-160.0,15060.0,1.61,0.05,0.61,0.62
10.89,204.0,-76.0,14888.0,1.55,-0.01,0.29,0.59
10.95,308.0,-208.0,15044.0,1.47,-0.12,0.79,0.61
11.0,332.0,-76.0,15032.0,1.57,0.0,0.29,0.57
11.06,360.0,-196.0,14892.0,1.66,0.06,0.75,0.6
11.12,328.0,-192.0,14968.0,1.6,0.02,0.73,0.61
11.18,248.0,-160.0,15008.0,1.46,-0.11,0.61,0.6
11.24,320.0,-152.0,15068.0,1.51,-0.06,0.58,0.6
11.29,444.0,-104.0,15124.0,1.62,0.05,0.39,0.58
11.35,348.0,-8.0,14908.0,1.5,-0.08,0.03,0.52
11.41,372.0,-196.0,15120.0,1.56,-0.06,0.74,0.54
11.47,260.0,-116.0,15096.0,1.58,-0.03,0.44,0.53
11.53,332.0,-284.0,15056.0,1.69,0.07,1.08,0.59
11.58,408.0,-172.0,15044.0,1.57,-0.0,0.66,0.59
11.64,428.0,-108.0,14880.0,1.56,-0.01,0.42,0.58
11.7,352.0,-144.0,15148.0,1.69,0.11,0.54,0.58
11.76,260.0,-268.0,15212.0,1.52,-0.07,1.01,0.62
11.82,284.0,-156.0,14892.0,1.59,0.03,0.6,0.62
11.88,404.0,-176.0,14876.0,1.53,-0.02,0.68,0.62
11.94,340.0,-88.0,15012.0,1.52,-0.03,0.34,0.59
11.99,328.0,-196.0,14972.0,1.52,-0.05,0.75,0.61
12.05,408.0,-164.0,14912.0,1.73,0.17,0.63,0.62
12.11,236.0,-144.0,15088.0,1.52,-0.04,0.55,0.61
12.17,304.0,-144.0,14984.0,1.56,-0.0,0.55,0.6
12.23,256.0,-188.0,14992.0,1.62,0.05,0.72,0.62
12.28,296.0,-172.0,15008.0,1.44,-0.12,0.66,0.61
12.34,372.0,-280.0,14888.0,1.76,0.2,1.08,0.67
12.4,420.0,-156.0,15060.0,1.48,-0.04,0.59,0.66
12.46,328.0,-220.0,15116.0,1.63,0.1,0.83,0.68
12.52,300.0,-276.0,15032.0,1.66,0.15,1.05,0.73
12.58,308.0,-16.0,14880.0,1.56,0.06,0.06,0.66
12.63,352.0,-104.0,14900.0,1.59,0.05,0.4,0.64
12.69,216.0,-96.0,15152.0,1.47,-0.09,0.36,0.61
12.75,360.0,-164.0,15136.0,1.54,-0.04,0.62,0.61
12.81,280.0,-116.0,14976.0,1.54,-0.04,0.44,0.59
12.87,412.0,-160.0,14848.0,1.46,-0.13,0.62,0.59
12.92,308.0,-120.0,15100.0,1.64,0.05,0.46,0.58
12.98,248.0,-168.0,15004.0,1.53,-0.07,0.64,0.58
13.04,300.0,-64.0,14848.0,1.56,-0.03,0.25,0.54
13.1,272.0,-140.0,14900.0,1.52,-0.1,0.54,0.54
13.16,96.0,4756.0,12844.0,-154.99,-156.61,-20.32,-9.82
13.22,512.0,-7060.0,14060.0,-172.76,-175.22,26.66,-16.63
13.29,312.0,-7128.0,13844.0,-163.09,-162.02,27.24,-22.15
13.36,344.0,-10988.0,11268.0,-175.83,-170.68,44.28,-25.8
13.43,764.0,-11124.0,9596.0,-168.98,-157.95,49.22,-27.83
13.5,356.0,-14168.0,6744.0,-181.42,-163.86,64.55,-28.16
13.57,996.0,-15548.0,3812.0,-174.73,-149.24,76.22,-26.23
13.64,632.0,-16336.0,320.0,-168.22,-133.93,88.88,-22.14
13.7,636.0,-16320.0,-2460.0,-173.22,-129.33,98.57,-16.99
13.77,648.0,-15772.0,-6184.0,-175.56,-121.65,111.41,-10.68
13.84,628.0,-14992.0,-9564.0,-179.47,-114.94,122.54,-3.45
13.91,656.0,-11500.0,-12548.0,-176.54,-100.98,137.5,5.68
13.98,448.0,-10132.0,-14844.0,-167.6,-80.47,145.68,16.03
14.05,584.0,-6912.0,-16620.0,-166.62,-68.08,157.42,27.36
14.12,448.0,-3876.0,-17292.0,-171.22,-61.22,167.37,39.02
14.19,316.0,1260.0,-17728.0,-170.37,-49.07,-175.93,12.37
14.26,368.0,3736.0,-17456.0,-185.02,-80.28,-167.92,-12.38
14.33,424.0,6596.0,-16448.0,-175.62,-84.56,-158.15,-33.7
14.4,368.0,9828.0,-14268.0,-164.52,-84.4,-145.44,-51.28
14.47,512.0,13152.0,-11680.0,-176.81,-104.98,-131.61,-66.66
14.54,484.0,14448.0,-8964.0,-171.42,-105.31,-121.82,-79.51
14.61,472.0,15360.0,-5624.0,-179.84,-117.47,-110.11,-90.29
14.68,504.0,16120.0,-2148.0,175.79,-115.18,-97.59,-98.34
