Tiempo,Angulo
11.122,77.5°
11.155,80.7°
11.190,83.9°
11.222,87.0°
11.254,90.2°
11.288,93.2°
11.321,96.2°
11.354,99.3°
11.387,102.3°
11.419,105.0°
11.454,108.0°
11.486,110.9°
11.519,113.7°
11.555,116.6°
11.586,119.2°
11.619,122.1°
11.652,124.7°
11.686,127.3°
11.718,130.0°
11.751,132.5°
11.787,135.1°
11.818,137.5°
11.850,139.9°
11.884,142.5°
11.917,144.8°
11.950,147.2°
11.983,149.4°
12.017,152.0°
12.049,154.2°
12.082,156.2°
12.116,158.8°
12.148,160.9°
12.182,163.3°
12.214,165.4°
12.250,167.7°
12.281,169.7°
12.314,171.5°
12.348,173.8°
12.380,175.7°
12.413,178.0°
12.450,179.9°
12.483,-178.3°
12.516,-176.1°
12.548,-174.2°
12.580,-172.4°
12.618,-170.6°
12.648,-168.8°
12.679,-167.0°
12.715,-165.1°
12.752,-163.4°
12.783,-161.5°
12.815,-159.7°
12.844,-157.9°
12.877,-156.2°
12.910,-154.5°
12.943,-152.7°
12.978,-151.0°
13.011,-149.4°
13.043,-147.7°
13.076,-146.1°
13.110,-144.5°
13.141,-142.8°
13.175,-141.2°
13.209,-139.5°
13.243,-138.0°
13.275,-136.4°
13.308,-135.0°
13.340,-133.4°
13.373,-131.8°
13.407,-130.4°
13.439,-129.0°
13.472,-127.4°
13.506,-126.0°
13.540,-124.4°
13.571,-122.9°
13.605,-121.4°
13.638,-120.0°
13.675,-118.6°
13.704,-117.3°
13.738,-115.9°
13.770,-114.5°
13.804,-113.1°
13.837,-111.8°
13.871,-110.4°
13.903,-109.0°
13.936,-107.7°
13.969,-106.3°
14.002,-105.0°
14.035,-103.7°
14.070,-102.3°
14.101,-101.2°
14.135,-99.9°
14.167,-98.6°
14.200,-97.4°
14.234,-96.1°
14.269,-94.8°
14.300,-93.5°
14.333,-92.3°
14.366,-91.1°
14.400,-90.0°
14.434,-88.8°
14.468,-87.6°
14.499,-86.4°
14.532,-85.4°
14.565,-84.2°
14.597,-82.9°
14.631,-81.8°
14.664,-80.6°
14.698,-79.6°
14.731,-78.7°
14.764,-77.4°
14.797,-76.1°
14.832,-74.9°
14.863,-74.0°
14.897,-72.8°
14.931,-71.8°
14.962,-71.0°
14.996,-69.9°
15.029,-68.7°
15.062,-67.6°
15.095,-66.6°
15.127,-65.6°
15.161,-64.6°
15.194,-63.6°
15.230,-62.7°
15.261,-61.7°
15.295,-60.7°
15.327,-59.7°
15.359,-58.6°
15.397,-57.6°
15.426,-56.6°
15.460,-55.7°
15.494,-54.9°
15.526,-53.6°
15.558,-52.8°
15.591,-52.0°
15.625,-50.7°
15.657,-50.0°
15.691,-49.0°
15.725,-47.9°
15.756,-46.8°
15.791,-46.0°
15.822,-45.3°
15.856,-44.2°
15.889,-43.5°
15.922,-42.7°
15.956,-41.6°
15.989,-40.5°
16.023,-40.0°
16.056,-38.8°
16.088,-38.1°
16.121,-37.2°
16.153,-36.1°
16.187,-35.4°
16.220,-34.5°
16.253,-33.7°
16.288,-32.8°
16.321,-31.8°
16.354,-30.8°
16.387,-29.8°
16.420,-29.3°
16.457,-28.4°
16.486,-27.6°
16.518,-26.7°
16.551,-25.8°
16.584,-24.9°
16.617,-23.9°
16.653,-23.0°
16.683,-22.4°
16.717,-21.5°
16.750,-20.6°
16.783,-19.9°
16.816,-19.1°
16.850,-18.2°
16.883,-17.4°
16.922,-16.4°
16.950,-15.5°
16.981,-14.7°
17.015,-14.0°
17.047,-13.2°
17.080,-12.4°
17.114,-11.4°
17.150,-10.6°
17.183,-10.0°
17.214,-9.2°
17.247,-8.3°
17.279,-7.5°
17.312,-6.6°
17.345,-5.8°
17.379,-5.0°
17.411,-4.3°
17.445,-3.5°
17.479,-2.7°
17.511,-1.9°
17.544,-1.1°
17.577,-0.2°
17.611,0.4°
17.644,1.2°
17.677,2.1°
17.710,2.9°
17.743,3.8°
17.777,4.6°
17.812,5.4°
17.842,6.3°
17.876,7.1°
17.908,7.7°
17.941,8.6°
17.976,9.2°
18.009,10.1°
18.042,10.9°
18.077,11.7°
18.110,12.6°
18.142,13.4°
18.175,14.1°
18.206,15.0°
18.239,15.7°
18.274,16.4°
18.307,17.3°
18.339,18.1°
18.373,18.9°
18.405,19.6°
18.438,20.4°
18.471,21.0°
18.506,21.9°
18.538,22.7°
18.570,23.4°
18.604,24.2°
18.637,25.0°
18.671,25.7°
18.705,26.6°
18.737,27.2°
18.770,28.0°
18.804,28.8°
18.837,29.5°
18.870,30.4°
18.901,31.1°
18.936,32.0°
18.969,32.7°
19.002,33.5°
19.035,34.2°
19.067,35.0°
19.100,35.8°
19.133,36.4°
19.167,37.2°
19.200,37.9°
19.234,38.6°
19.265,39.3°
19.298,40.3°
19.332,40.9°
19.366,41.7°
19.398,42.6°
19.431,43.2°
19.464,43.9°
19.497,44.9°
19.530,45.6°
19.565,46.3°
19.597,46.9°
19.630,47.8°
19.662,48.5°
19.696,49.1°
19.729,50.2°
19.762,50.9°
19.796,51.7°
19.828,52.5°
19.861,53.2°
19.894,54.0°
19.932,54.7°
19.961,55.5°
19.994,56.4°
20.027,57.1°
20.060,58.0°
20.093,58.8°
20.126,59.7°
20.159,60.5°
20.199,61.4°
20.225,62.2°
20.260,62.7°
20.293,63.6°
20.325,64.4°
20.358,65.3°
20.391,66.0°
20.425,66.7°
20.457,67.7°
20.491,68.4°
20.524,69.2°
20.557,70.1°
20.591,70.8°
20.623,71.7°
20.656,72.6°
20.689,73.3°
20.722,74.2°
20.756,74.9°
20.790,75.7°
20.823,76.5°
20.855,77.3°
20.889,78.3°
20.921,79.1°
20.954,79.8°
20.987,80.6°
21.021,81.4°
21.053,82.2°
21.093,83.0°
21.123,83.9°
21.152,84.7°
21.186,85.4°
21.219,86.2°
21.252,87.1°
21.286,87.9°
21.318,88.8°
21.351,89.6°
21.384,90.5°
21.418,91.3°
21.451,91.9°
21.488,92.7°
21.517,93.4°
21.551,94.3°
21.583,95.1°
21.617,95.9°
21.649,96.7°
21.682,97.4°
21.716,98.5°
21.749,99.3°
21.781,99.9°
21.815,100.4°
21.848,101.7°
21.883,102.5°
21.915,103.2°
21.947,104.1°
21.981,104.9°
22.016,105.7°
22.046,106.6°
22.079,107.5°
22.113,108.2°
22.146,109.1°
22.178,109.8°
22.211,110.6°
22.247,111.3°
22.278,112.2°
22.311,113.0°
22.346,113.9°
22.377,114.7°
22.411,115.5°
22.444,116.4°
22.477,117.0°
22.516,117.8°
22.544,118.8°
22.578,119.6°
22.610,120.3°
22.642,121.1°
22.677,122.0°
22.710,122.9°
22.742,123.7°
22.776,124.4°
22.808,125.2°
22.841,126.0°
22.874,126.9°
22.907,127.5°
22.940,128.2°
22.973,129.1°
23.007,129.7°
23.040,130.5°
23.074,131.4°
23.105,132.2°
23.140,133.0°
23.172,133.8°
23.205,134.5°
23.239,135.4°
23.274,136.1°
23.304,136.8°
23.338,137.5°
23.371,138.2°
23.404,139.0°
23.437,139.9°
23.470,140.6°
23.504,141.4°
23.537,142.1°
23.569,142.9°
23.602,143.6°
23.635,144.4°
23.670,145.1°
23.705,145.8°
23.735,146.6°
23.767,147.3°
23.801,148.1°
23.835,148.9°
23.867,149.7°
23.900,150.5°
23.933,151.2°
23.966,152.1°
24.000,152.7°
24.033,153.5°
24.067,154.2°
24.099,155.0°
24.133,155.9°
24.166,156.5°
24.200,157.3°
24.231,158.2°
24.267,158.8°
24.297,159.6°
24.330,160.5°
24.364,161.2°
24.398,162.0°
24.430,162.6°
24.463,163.4°
24.496,164.1°
24.530,164.9°
24.562,165.6°
24.597,166.4°
24.630,167.2°
