
a/g:	456	360	14632	205	48	-445
a/g:	388	276	14732	203	85	-414
a/g:	400	380	14700	208	33	-433
a/g:	332	276	14656	215	62	-414
a/g:	468	320	14732	200	33	-412
a/g:	352	384	14740	198	54	-415
a/g:	420	328	14716	209	54	-455
a/g:	408	352	14600	209	38	-402
a/g:	424	400	14668	203	64	-458
a/g:	432	308	14672	205	53	-418
a/g:	340	332	14624	209	45	-437
a/g:	448	340	14672	223	39	-429
a/g:	352	292	14620	213	33	-433
a/g:	504	348	14708	219	65	-440
a/g:	400	424	14576	218	42	-435
a/g:	376	316	14616	218	67	-433
a/g:	372	344	14736	215	24	-407
a/g:	468	300	14592	215	51	-434
a/g:	380	312	14768	217	55	-413
a/g:	416	348	14672	204	44	-427
a/g:	496	344	14684	196	64	-439
a/g:	412	232	14736	211	39	-414
a/g:	416	324	14580	208	52	-437
a/g:	440	292	14716	223	81	-425
a/g:	548	292	14684	196	38	-437
a/g:	388	284	14740	212	75	-413
a/g:	476	388	14744	205	48	-446
a/g:	392	424	14656	206	37	-443
a/g:	448	364	14708	227	27	-452
a/g:	416	348	14672	195	75	-413
a/g:	488	356	14704	237	45	-444
a/g:	448	452	14736	199	78	-424
a/g:	460	240	14724	210	52	-419
a/g:	380	336	14600	199	49	-447
a/g:	396	332	14696	192	82	-418
a/g:	476	336	14672	190	55	-456
a/g:	392	420	14660	209	17	-419
a/g:	460	296	14612	206	97	-427
a/g:	368	324	14568	216	35	-420
a/g:	396	424	14644	228	58	-430
a/g:	396	352	14712	218	68	-431
a/g:	412	336	14624	191	46	-435
a/g:	448	272	14644	220	57	-423
a/g:	376	332	14656	205	75	-424
a/g:	388	440	14792	224	34	-437
a/g:	404	412	14608	188	55	-444
a/g:	364	324	14632	194	38	-441
a/g:	412	364	14540	207	47	-433
a/g:	472	336	14696	205	74	-413
a/g:	408	432	14768	216	55	-441
a/g:	580	356	14844	213	48	-422
a/g:	464	260	14640	199	49	-448
a/g:	472	412	14700	194	46	-420
a/g:	356	304	14584	215	73	-428
a/g:	404	348	14792	198	28	-406
a/g:	396	384	14696	203	62	-433
a/g:	412	352	14776	204	64	-447
a/g:	348	272	14752	211	25	-433
a/g:	432	336	14600	203	48	-442
a/g:	436	300	14860	206	73	-443
a/g:	404	372	14672	206	21	-431
a/g:	356	248	14608	213	51	-435
a/g:	416	328	14644	220	33	-439
a/g:	492	448	14632	207	42	-416
a/g:	332	348	14664	228	50	-402
a/g:	552	344	14780	206	89	-425
a/g:	372	304	14624	200	53	-425
a/g:	452	356	14624	225	92	-437
a/g:	436	292	14684	217	54	-443
a/g:	496	392	14788	217	46	-404
a/g:	488	328	14664	210	35	-423
a/g:	492	388	14604	216	42	-431
a/g:	392	316	14716	183	89	-420
a/g:	472	360	14752	218	53	-451
a/g:	392	344	14728	215	42	-419
a/g:	440	256	14720	193	38	-433
a/g:	492	308	14788	219	46	-437
a/g:	476	360	14712	215	38	-421
a/g:	400	376	14688	214	22	-427
a/g:	364	428	14696	217	45	-455
a/g:	600	408	14760	226	68	-418
a/g:	492	376	14632	201	85	-441
a/g:	444	420	14768	216	49	-433
a/g:	364	348	14656	207	47	-433
a/g:	544	416	14592	184	48	-415
a/g:	296	432	14736	212	33	-421
a/g:	448	276	14584	200	43	-415
a/g:	452	284	14632	209	70	-432
a/g:	444	336	14852	225	38	-434
a/g:	388	468	14704	225	50	-442
a/g:	312	372	14688	205	15	-419
a/g:	480	388	14744	220	52	-428
a/g:	364	320	14736	226	43	-439
a/g:	412	440	14704	198	76	-400
a/g:	436	368	14708	194	73	-429
a/g:	488	380	14776	208	67	-427
a/g:	504	384	14532	195	52	-417
a/g:	484	352	14776	195	55	-444
a/g:	416	352	14576	204	40	-411
a/g:	472	424	14600	204	53	-428
a/g:	372	484	14576	208	60	-457
a/g:	448	336	14616	203	88	-412
a/g:	496	400	14628	203	43	-440
a/g:	452	368	14704	214	52	-432
a/g:	360	444	14748	214	36	-440
a/g:	400	404	14608	198	64	-431
a/g:	552	372	14668	210	63	-442
a/g:	316	396	14756	197	47	-421
a/g:	380	448	14748	218	63	-435
a/g:	384	328	14596	196	52	-415
a/g:	496	396	14720	209	94	-416
a/g:	340	336	14720	213	8	-432
a/g:	504	328	14736	202	55	-444
a/g:	428	348	14664	208	49	-416
a/g:	512	396	14744	221	56	-443
a/g:	464	356	14644	229	34	-424
a/g:	504	360	14688	207	75	-430
a/g:	492	404	14744	202	42	-430
a/g:	352	344	14676	215	58	-455
a/g:	372	396	14836	214	66	-416
a/g:	480	244	14736	200	61	-436
a/g:	396	348	14688	223	20	-429
a/g:	344	304	14612	199	37	-422
a/g:	496	228	14660	219	51	-423
a/g:	440	336	14808	186	91	-440
a/g:	508	324	14712	213	49	-428
a/g:	328	272	14696	202	70	-428
a/g:	504	288	14804	217	38	-448
a/g:	412	280	14572	198	63	-432
a/g:	440	288	14628	217	32	-422
a/g:	388	388	14648	230	13	-444
a/g:	392	396	14632	181	66	-431
a/g:	448	248	14696	196	57	-418
a/g:	516	384	14724	200	78	-425
a/g:	364	420	14620	206	37	-438
a/g:	412	300	14744	223	52	-424
